Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
mesa grande tipe 66,Rp 885.000.000,3,66,72,"Jl. Basman, Kalibaru, Kalimulya, Cilodong, Depok",2025-04-27T14:35:37.104497
cluster wangsagriya at podomoro park bandung,Rp 1.700.000.000,2,82,72,"Terusan Buah Batu, Buahbatu, Bandung",2025-04-27T14:35:37.236604
koza - gamma 87/84,Rp 1.730.000.000,3,82,84,"Jl. HR. Rasuna Said, Kunciran Jaya Pinang, Tangerang",2025-04-27T14:35:37.372626
puri 11 heritage tipe the 9 signature corner,Rp 5.686.000.000,4,232,147,"Jl. Sandong No.31, RT.004/RW.001, Pd. Pucung, Karang Tengah, Tangerang",2025-04-27T14:35:37.641520
vicente at klasika grand wisata tipe 10,Rp 3.197.579.775,4,154,140,"Jl. Celebration Boulevard, Lambangjaya, Tambun Selatan, Bekasi",2025-04-27T14:35:37.998118
tesla tipe 80/72,Rp 1.462.000.000,3,80,72,"Jl. Inpres, Benda Baru, Pamulang, Tangerang Selatan",2025-04-27T14:35:38.289854
anvaya tipe 56/108,Rp 1.298.726.000,3,56,108,"Jl. Raya Pisangan, Satriamekar, Tambun Utara, Bekasi",2025-04-27T14:35:38.604579
koza - delta 98/98,Rp 2.038.000.000,3,98,98,"Jl. HR. Rasuna Said, Kunciran Jaya Pinang, Tangerang",2025-04-27T14:35:38.918728
cluster wangsagriya at podomoro park bandung,Rp 1.700.000.000,2,82,72,"Terusan Buah Batu, Buahbatu, Bandung",2025-04-27T14:35:48.391248
mesa grande tipe 66,Rp 885.000.000,3,66,72,"Jl. Basman, Kalibaru, Kalimulya, Cilodong, Depok",2025-04-27T14:35:48.616079
koza - gamma 87/84,Rp 1.730.000.000,3,82,84,"Jl. HR. Rasuna Said, Kunciran Jaya Pinang, Tangerang",2025-04-27T14:35:48.886456
koza - beta 74/66,Rp 1.419.000.000,3,74,66,"Jl. HR. Rasuna Said, Kunciran Jaya Pinang, Tangerang",2025-04-27T14:35:49.019668
aralia (2 lantai) + semi furnished,Rp 1.221.581.569,3,74,72,"Jl. Kp. Kandang, Jatake, Pagedangan, Tangerang",2025-04-27T14:35:49.153740
koza - delta 98/98,Rp 2.038.000.000,3,98,98,"Jl. HR. Rasuna Said, Kunciran Jaya Pinang, Tangerang",2025-04-27T14:35:49.269360
vicente at klasika grand wisata tipe 10,Rp 3.197.579.775,4,154,140,"Jl. Celebration Boulevard, Lambangjaya, Tambun Selatan, Bekasi",2025-04-27T14:35:49.585934
anvaya tipe 56/108,Rp 1.298.726.000,3,56,108,"Jl. Raya Pisangan, Satriamekar, Tambun Utara, Bekasi",2025-04-27T14:35:49.873690
rumah 1 lt minimalis dekat jatiasih 5 menit ke rs bebas banjir j-16233,Rp 542.000.000,2,47,67,"Jatiasih, Bekasi",2025-04-27T14:35:50.165635
dijual rumah taman kedoya baru blok a siap huni & rapi di kebon jeruk,Rp 10.500.000.000,4,750,530,"Kebon Jeruk, Jakarta Barat",2025-04-27T14:35:50.442553
