Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
rumah 2 lantai di kota bogor siap huni gratis semua biaya view gunung,Rp 1.000.000.000,3,110,88,"Jalan Palem Kota Bogor Bogor Barat - Kota, Bogor",2025-04-27T14:30:08.152628
rumah cantik di cibinong dinding bata merah gratis semua biaya biaya,Rp 777.000.000,3,80,70,"Cibinong, Bogor",2025-04-27T14:30:08.398359
dijual cepat rumah siap huni cluster cinere green valley,Rp 1.050.000.000,2,72,90,"Cinere Green Valley, Pondok Cabe Ilir Kel., Pamulang, Tangerang Selatan, 15438, Indonesia Tangerang Selatan",2025-04-27T14:30:08.527981
cash/kpr rumah kokoh akses jalan 2 mobil 10 menit stasiun citayam,Rp 350.000.000,2,42,66,"Kemang Raya Residence Sawangan, Depok",2025-04-27T14:30:08.812609
dijual rumah mewah golf terrace bsd tangerang,Rp 25.000.000.000,7,1,782,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:09.115383
"jual rumah murah dibendungan hilir, cocok untuk tinggal/ bangun kost2n",Rp 3.900.000.000,3,150,107,"SetiaBudi, Jakarta Selatan",2025-04-27T14:30:09.245351
di jual rumah di pondok kelapa jakarta timur,Rp 2.500.000.000,4,186,127,"kav dki pondok kelapa jakarta timur Duren Sawit, Jakarta Timur",2025-04-27T14:30:09.362735
di jual rumah mewah 2 lantai dekat living world mall denpasar,Rp 3.950.000.000,3,125,100,"Denpasar Utara, Denpasar",2025-04-27T14:30:09.485146
di jual rumah baru di pondok kelapa,Rp 2.500.000.000,4,257,127,"Jalan Kavling DKI, Duren Sawit Kel., Duren Sawit, Jakarta Timur, 13440, Indonesia Duren Sawit, Jakarta Timur",2025-04-27T14:30:09.727387
di jual rumah ada kolam renang di rawamangun,Rp 5.500.000.000,6,250,150,"Komplek Perhubungan Laut & Jalan Paus, Rawamangun Kel., Pulo Gadung, Jakarta Timur, 13220, Indonesia Rawamangun, Jakarta Timur",2025-04-27T14:30:09.845616
rumah di jual tengah kota minimalis siap huni full furnis tengah kota,Rp 640.000.000,2,90,156,"Kemuning, Palembang",2025-04-27T14:30:09.977878
tipe 55 m2/ tanah : 81 m2. 760 jt. st. depok baru. dekat jaksel,Rp 760.000.000,2,55,81,"Limo, Depok",2025-04-27T14:30:10.089879
elyon eonna bsd city,Rp 4.719.000.000,4,189,129,"Cluster Eonna BSD City Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:10.201277
maja taphala - villa paling premium di sanur bali,Rp 3.700.000.000,2,114,125,"Sanur, Denpasar",2025-04-27T14:30:10.377256
jual rumah milenial setraduta setra duta dekat tol pasteur bandung,Rp 2.400.000.000,3,225,76,"Pasteur Sukajadi, Bandung",2025-04-27T14:30:10.591534
last unit villa mediteranian siap huni juni 2025,Rp 3.198.000.000,3,143,158,"Nusa Dua, Badung",2025-04-27T14:30:10.885669
dijual rumah mewah di elyon by eonna bsd city free dp & 5 menit ke tol,Rp 5.280.415.220,4,189,128,"Serpong, Tangerang Selatan",2025-04-27T14:30:11.140198
harga tanah saja bangunan gratis rumah mewah hook green garden jakarta,Rp 12.000.000.000,7,500,600,"Kebon Jeruk, Jakarta Barat",2025-04-27T14:30:11.414100
villa paling murah di pecatu uluwatu bali,Rp 1.930.000.000,2,70,124,"Uluwatu, Badung",2025-04-27T14:30:11.675979
rumah eksklusif cosmo park di atas mall thamrin city townhouse modern,Rp 3.900.000.000,3,270,136,"Tanah Abang, Jakarta Pusat",2025-04-27T14:30:11.790346
villa 3 kamar siap huni di kawasan favorit seminyak,Rp 7.950.000.000,3,250,287,"Seminyak, Kuta, Badung, Bali Seminyak, Badung",2025-04-27T14:30:11.885896
rumah 3 lantai furnished di cluster sheffield greenwich bsd,Rp 5.500.000.000,5,400,180,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:12.013401
santana tropicos - villa cantik di pecatu uluwatu bali,Rp 3.200.000.000,2,158,141,"Pecatu, Badung",2025-04-27T14:30:12.141925
dijual rumah full furnish 2 lantai di yogyakarta dekat malioboro,Rp 2.400.000.000,4,135,109,SMP Negeri 9 Yogyakarta Yogyakarta,2025-04-27T14:30:12.308010
rumah mewah deket mall the park sawangan,Rp 3.800.000.000,4,197,128,"Fore Coffee - Shila Sawangan Sawangan, Depok",2025-04-27T14:30:12.529341
dijual rumah di sentul jual modal 2020 bu shm bisa kpr,Rp 1.600.000.000,3,90,105,"Sentul, Bogor",2025-04-27T14:30:12.757065
rumah 2 lantai 3 kamar tidur cluster mizumi cicilan 2 jutaan,Rp 768.000.000,3,47,60,"Cikarang Utara, Bekasi",2025-04-27T14:30:12.851835
rumah mewah 3 lantai 9x18m bsd city,Rp 6.319.400.000,5,265,162,"Gading Serpong Gading Serpong, Tangerang",2025-04-27T14:30:13.035110
villa mewah view sawah sunset di jln utama canggu,Rp 20.000.000.000,3,850,1267,"jalan utama Babakan, Canggu, Bali Canggu, Badung",2025-04-27T14:30:13.220401
dijual rumah 2 lantai di matraman jakarta timur,Rp 1.200.000.000,3,78,53,"Rumah Pisangan Baru Matraman, Jakarta Timur",2025-04-27T14:30:13.473271
"tipe 64 m2/ tanah : 86 m2. 780 juta shm, 15 menit stasiun depok baru",Rp 780.000.000,2,64,86,"Beji, Depok",2025-04-27T14:30:21.828028
kapan lagi dg cukup 1 juta aja udah bisa dapat townhouse ini !!!!,Rp 640.000.000,2,56,62,"Jl H Sulaiman Bedahan Depok Bedahan, Depok",2025-04-27T14:30:22.042140
“rumah pertamamu ada di sini!townhouse klasik modern strategis & mewah,Rp 642.000.000,2,45,62,"gn.putri bogor Gunung Putri, Bogor",2025-04-27T14:30:22.160795
dijual rumah mewah 2 lantai di cempaka putih jakarta pusat,Rp 1.500.000.000,3,83,47,"Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat",2025-04-27T14:30:22.259594
dijual rumah di jl. camar sektor 3 bintaro tangsel kawasan premium,Rp 6.000.000.000,8,360,360,"Jl. Camar Bintaro, Tangerang Selatan",2025-04-27T14:30:22.378176
rumah minimalis japandi dekat bintaro sektor 4,Rp 1.399.000.000,4,104,72,"Bintaro, Tangerang Selatan",2025-04-27T14:30:22.479313
"rumah siap huni 2 lt, hoek, furnished shm bintaro (vigules) cl 442",Rp 3.100.000.000,4,299,265,"Bintaro, Tangerang Selatan",2025-04-27T14:30:22.598256
rumah lebar 8 bebas banjir,Rp 985.000.000,3,70,165,"Jl. Batu Tambung, Sudiang Raya Sudiang Raya, Makassar",2025-04-27T14:30:22.711043
cuma ada 11 unit rumah murah di bogor kota,Rp 285.000.000,2,40,60,"Kencana, Bogor",2025-04-27T14:30:22.827666
di jual rumah redy siap huni shm dekat jakarta internasional stadion,Rp 477.120.000,2,43,22,"Jalan Sunter Agung Utara Raya, Sunter Agung Kel., Tanjung Priok, Jakarta Utara, 14330, Indonesia Pademangan, Jakarta Utara",2025-04-27T14:30:22.928308
"rumah tinggal 201 m2 perum kembang larangan , kota tangerang, banten",Rp 1.500.000.000,4,147,201,"Jalan Mayang, Larangan Selatan Kel., Larangan, Tangerang Kota, 15154, Indonesia Larangan, Tangerang",2025-04-27T14:30:23.027658
dijual harga rumah dibawah pasaran lokasi premium sangat strategis,Rp 3.500.000.000,4,186,221,"Jalan Pangrango Terusan Gang.H.Ahmad Jatibening, Bekasi",2025-04-27T14:30:23.160512
"dijual rumah 2 lantai, lebar 7, bebas banjir",Rp 1.090.000.000,4,69,164,"Jl. Batu Tambung, Sudiang Raya Sudiang Raya, Makassar",2025-04-27T14:30:23.270899
townhouse 1 lantai strategis pinggir aspal cocok usaha & kantor,Rp 1.250.000.000,1,160,213,"Jalan Lettu roni belut ( simpang 3 pandawa lemabang) pinggir jalan belakang rumah bumn pusri 2 Ilir, Palembang",2025-04-27T14:30:23.384634
jual cepat murah taman kopo katapang full renov minimalis dkt tol soro,Rp 925.000.000,3,90,112,"Komplek Taman Kopo Katapang Soreang Bandung Soreang, Bandung",2025-04-27T14:30:23.481034
"jual cepat tp perantara the address dkt citra gran, raffles cibubur",Rp 1.100.000.000,3,135,90,"Tapos, Depok",2025-04-27T14:30:23.600226
dijual termurah rumah 2 lantai di kebayoran arteri pondok indah jaksel,Rp 5.750.000.000,6,300,250,"Pondok Indah, Jakarta Selatan",2025-04-27T14:30:23.700877
rumah villa di kota batu dekat wisata vila dijual cepat bu butuh uang,Rp 2.499.000.000,5,162,228,"Masuk area wisata Baloga (Batu Love Garden) Batu, Batu",2025-04-27T14:30:23.806900
dijual rumah royal estate podo type platinum 230 dan type diamond 150,Rp 3.888.888.800,3,230,180,"Jl. Raya Podo, Kedungwuni, Kab. Pekalongan Kedungwuni, Pekalongan",2025-04-27T14:30:23.909832
"dijual rumah mewah 2 lantai di komplek palem kartika cipayung, jaktim",Rp 8.500.000.000,4,400,500,"Cipayung, Jakarta Timur",2025-04-27T14:30:24.115813
rumah lama butuh renovasi di menteng jakarta pusat,Rp 135.000.000.000,6,1000,1522,"Menteng, Jakarta Pusat",2025-04-27T14:30:24.212701
villa sea view luxury goa gong tiara nusa bali,Rp 12.000.000.000,6,650,550,"tiara nusa Goa Gong, Badung",2025-04-27T14:30:24.328705
dijual rumah cluster amalfi gading serpong 5menit ke bsd,Rp 4.500.000.000,4,198,160,"Gading Serpong, Tangerang",2025-04-27T14:30:24.429445
dijual rumah 2 lantai siap huni di pesona resident di jakarta selat,Rp 2.700.000.000,3,157,103,"Jagakarsa, Jakarta Selatan",2025-04-27T14:30:24.545524
jual rumah 2lt full furnished siap huni lokasi cipete jakarta selatan,Rp 10.800.000.000,4,260,230,"Jl Pangeran Antasari Cipete, Jakarta Selatan",2025-04-27T14:30:24.663182
"presale st tavia 5 villa, gaya santorini dekat pantai melasti",Rp 2.800.000.000,2,170,205,"Perum Tukad Selatan Ungasan, Badung",2025-04-27T14:30:24.777655
400jt an‼️rumah baru gress bluru sidoarjo,Rp 475.000.000,2,37,66,"Bluru Blurukidul, Sidoarjo",2025-04-27T14:30:24.891911
dijual rumah siap huni cluster griya cempaka arum gedebage berkembang,Rp 575.000.000,2,68,84,"Griya Cempaka Arum Gedebage, Bandung",2025-04-27T14:30:25.013191
rumah tanah luas palagan 250 m² lantai 1,Rp 1.750.000.000,4,150,257,"Palagan km 9.5 Ngaglik, Sleman",2025-04-27T14:30:25.139795
rumah sapphire pondok hijau golf gading serpong 2 lantai swimming pool,Rp 4.800.000.000,4,256,200,"Gading Serpong, Tangerang",2025-04-27T14:30:25.242798
dijual rumah 2 lantai lokasi strategis di jagakarsa jakarta selatan,Rp 3.700.000.000,3,198,154,"Jagakarsa, Jakarta Selatan",2025-04-27T14:30:36.145976
dijual rumah 2 lantai harga murah bagus dan siap huni lokasi colomadu,Rp 450.000.000,2,120,105,"Colomadu, Karanganyar",2025-04-27T14:30:36.409937
di jual rumah di rawamangun jakarta timur,Rp 2.500.000.000,4,208,98,"Rawamangun, Jakarta Timur",2025-04-27T14:30:36.659186
dijual rumah 3 lantai cluster whelford green wich bsd,Rp 2.800.000.000,3,151,84,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:36.926197
rumah baru di villa melati mas serpong 10 menit ke bsd,Rp 1.850.000.000,3,145,100,"Serpong, Tangerang Selatan",2025-04-27T14:30:37.128226
dijual rumah baru cluster sutera cemara alam sutera,Rp 7.200.000.000,4,330,240,"Alam Sutera, Tangerang Selatan",2025-04-27T14:30:37.242530
dijual rumah premium elyon di bsd city,Rp 6.282.000.000,5,265,162,"BSD Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:37.359110
for sale rumah mewah dalam townhouse jagakarsa jakarta selatan,Rp 2.900.000.000,4,220,98,"Jalan Muhammad Kahfi 2 Jagakarsa, Jakarta Selatan",2025-04-27T14:30:37.459476
luxury villa colonial modern canggu bali dijual atau disewa,Rp 7.000.000.000,3,300,250,"Jalan pantai pererenan, Canggu, Kuta utara, Bali Canggu, Badung",2025-04-27T14:30:37.754115
"rumah selangkah ke tol tanpa macet, 300 meter dari pintu tol pamulang",Rp 1.666.000.000,4,77,71,"Ciputat, Tangerang Selatan",2025-04-27T14:30:38.060966
pasadena village paramount,Rp 5.679.100.000,4,237,152,"Cluster Pasadena Village Gading Serpong, Tangerang",2025-04-27T14:30:38.337562
hanya 5 menit dari tol legok dan stasiun krl cluster keren di bsd city,Rp 600.000.000,2,31,50,"BSD City Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:38.609081
"dijual rumah modern siap huni di bsd city terranea homes 2,5 jt all in",Rp 544.178.029,2,31,50,"CISAUK Cisauk, Tangerang",2025-04-27T14:30:38.902168
hanya 5 menit dari tol legok dan stasiun krl cluster mewah di bsd city,Rp 2.510.000.000,4,126,98,"Bumi Serpong Damai Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:39.156271
dijual rumah mewah siap huni di cendana residence 2 bsd city free dp,Rp 700.000.000,2,36,66,"Pamulang Serpong, Tangerang Selatan",2025-04-27T14:30:39.441833
rumah 3 lt lantai marmer dekat toll bsd cuma 3 m an bisa dp 0 persen,Rp 4.778.000.000,3,205,144,"Hiera Cluster Wynyard Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:39.731157
dijual rumah mewah 3 lantai elyon by eonna bsd city seberang eastvara,Rp 5.200.000.000,4,189,128,"Gading Serpong, Tangerang",2025-04-27T14:30:40.038351
rumah murah siap huni utj 1 jt dp 0 free semua biaya2 selatan surabaya,Rp 500.000.000,2,40,90,"Sidoarjo Sidoarjo, Sidoarjo",2025-04-27T14:30:40.318947
dijual rumah shm murah full renovasi citra garden 2 jakarta barat,Rp 4.800.000.000,5,122,210,"Sunrise Garden, Jakarta Barat",2025-04-27T14:30:40.612127
hanya 5 menit dari tol bsd dan stasiun krl cluster mewah di bsd city,Rp 790.000.000,2,36,66,"Cisauk Cisauk, Tangerang",2025-04-27T14:30:40.827847
dijual rumah 1 lantai di terranea homes bsd city dekat tol & stasiun,Rp 722.000.000,2,36,60,"Serpong Serpong, Tangerang Selatan",2025-04-27T14:30:40.933334
"dijual rumah mewah siap huni di terranea homes bsd city 2,5 jt all in",Rp 700.000.000,2,36,60,"Cisauk Cisauk, Tangerang",2025-04-27T14:30:41.030952
cuma selangkah ke eastvara elyon by eonna bsd city sinarmas land mewah,Rp 4.750.000.000,4,189,128,"EONNA BSD CITY Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:41.130314
dijual rumah 2 lantai di giantara serpong city bsd dekat tol & stasiun,Rp 2.531.000.000,4,126,98,"Serpong Serpong, Tangerang Selatan",2025-04-27T14:30:41.241025
"best value! eks menteri, garden house mewah dan modern di pondok indah",Rp 35.800.000.000,4,460,426,"Pondok Indah, Jakarta Selatan",2025-04-27T14:30:41.335688
hanya 5 menit dari tol bsd dan stasiun krl cluster mewah di bsd city,Rp 646.500.000,2,36,60,"Pamulang Pamulang, Tangerang Selatan",2025-04-27T14:30:41.447887
dijual rumah dekat bsd view danau,Rp 400.000.000,2,30,60,"Parung Panjang, Bogor",2025-04-27T14:30:41.560945
dijual rumah mewah siap huni di giantara serpong city bsd free dp dll,Rp 2.500.000.000,4,126,98,"Cicayur Cisauk, Tangerang",2025-04-27T14:30:41.705639
jual rumah 1 lantai di cendana residence 2 ciater bsd dekat tol & krl,Rp 796.550.000,2,36,66,"Ciater Pamulang, Tangerang Selatan",2025-04-27T14:30:41.995294
dijual rumah 1 lantai di bsd city terranea homes dekat tol dan stasiun,Rp 613.778.188,2,31,50,"Serpong Serpong, Tangerang Selatan",2025-04-27T14:30:42.191055
rumah mewah fully furnish 2 lantai siap huni di pemogan dempasar,Rp 1.850.000.000,4,200,100,"Denpasar Selatan, Denpasar",2025-04-27T14:30:50.526971
rumah murah di lokasi terbaik jarang ada turangga lengkong bandung,Rp 3.600.000.000,4,200,283,"Turangga Lengkong, Bandung",2025-04-27T14:30:50.821980
rumah baru di jakarta barat dekat toll lalu rumah sakit juga pasar,Rp 2.593.000.000,4,130,66,"Duri Kosambi, Jakarta Barat",2025-04-27T14:30:51.176642
jual cepat rumah 2 lantai full renovasi dlm cluster jagakarsa jaksel,Rp 1.850.000.000,4,180,116,"Jalan Timbul, Cipedak Kel., Jagakarsa, Jakarta Selatan, 12630, Indonesia Jagakarsa, Jakarta Selatan",2025-04-27T14:30:51.441577
dijual cepat rumah greenwich whelford bsd serpong strategis,Rp 1.900.000.000,4,120,60,"Pagedangan, Tangerang",2025-04-27T14:30:51.677725
"leasehold - modern tropical living in kaba-kaba, tabanan - stylish 3-bedroom villa with private pool",Rp 4.400.000.000,3,240,400,"Level -, -/- Kaba kaba, Kaba Kaba Kaba-Kaba, Tabanan",2025-04-27T14:30:51.969165
rumah lippo central karawaci lingkungan sangat asri dekat uph,Rp 4.300.000.000,4,190,160,"Karawaci, Tangerang",2025-04-27T14:30:52.278278
rumah cluster di bekasi dekat tempat wisata,Rp 600.000.000,2,36,72,"Bekasi Utara, Bekasi",2025-04-27T14:30:52.503288
turun harga termurah 1 cluster baroni gading serpong 7x12 full furnish,Rp 2.275.000.000,3,101,84,"Gading Serpong, Tangerang",2025-04-27T14:30:52.720444
dijual rumah luas plus kontrakan lokasi strategis dekat toll,Rp 4.500.000.000,3,500,714,"Kampung Rambutan, Jakarta Timur",2025-04-27T14:30:53.028738
jual rugi termurah 1 cluster edison gading serpong 8x15 full furnished,Rp 2.450.000.000,4,128,120,"Gading Serpong, Tangerang",2025-04-27T14:30:53.289284
baru gress harga turun rumah minimalis ketintang surabaya selatan,Rp 2.100.000.000,3,170,104,"Ketintang, Surabaya",2025-04-27T14:30:53.546009
rumah hook full furnish cluster rossini shymphonia gading serpong,Rp 3.600.000.000,3,177,103,"Gading Serpong, Tangerang",2025-04-27T14:30:53.818560
jual kos kost kosan kostan 24 kamar di karawang barat,Rp 5.500.000.000,24,360,240,"Karawang Barat, Karawang",2025-04-27T14:30:54.107814
jual cepat rumah murah the icon bsd 2 lantai semi furnished,Rp 2.300.000.000,3,100,112,"Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:54.375100
hunian asri bergaya villa di reka village- dekat surabaya & suramadu,Rp 290.000.000,2,40,60,"Reka Village Regency Bangkalan, Bangkalan",2025-04-27T14:30:54.670374
cluster armont residence di bsd city harga mulai 9 miliaran,Rp 9.600.000.000,6,380,2,"BSD City Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:30:54.859756
rumah dijual 3 lantai strategis dekat mall green pramuka jakarta pusat,Rp 1.270.000.000,3,80,41,"jl cempaka warna cempaka putih jakarta pusat Cempaka Putih, Jakarta Pusat",2025-04-27T14:30:55.140035
rumah mewah pik1 uk10x30 view danau strategis dekat tol,Rp 14.500.000.000,4,600,300,"Pantai Indah Kapuk, Jakarta Utara",2025-04-27T14:30:55.410073
dijual rumah idaman di taman rivera regency di surabaya,Rp 3.300.000.000,3,80.0,192,"Taman Rivera Regency C-8 Medokan Ayu, Surabaya",2025-04-27T14:30:55.707115
murah pisan rumah dibawah njop pusat kota area dago bandung,Rp 6.900.000.000,8,200,615,"Dago Dago, Bandung",2025-04-27T14:30:55.990310
186. dijual cepat kontrakan 12 pintu + 1 rumah siap huni di ulujami,Rp 7.000.000.000,14,1,900,"Cipulir, Jakarta Selatan",2025-04-27T14:30:56.300106
dijual hunian ekslusif cipayung jakarta timur,Rp 1.685.000.000,4,108,78,"Cipayung, Jakarta Timur",2025-04-27T14:30:56.587710
villa mewah canggu siap huni,Rp 8.250.000.000,4,320,303,"Canggu, Badung",2025-04-27T14:30:56.885240
"no dp, no drama! rumah 2 lantai di bogor buat kamu yang visioner!",Rp 1.100.000.000,3,115,109,"Ciomas, Bogor",2025-04-27T14:30:57.144398
cluster the groove graha raya bintaro,Rp 1.193.000.000,2,60,55,"Bintaro, Tangerang Selatan",2025-04-27T14:30:57.434711
di jual rumah tinggal cinere depok,Rp 7.000.000.000,12,550,1135,"Cinere, Depok",2025-04-27T14:30:57.713007
rumah mewah istimewa 2 lantai dengan kolam renang di jalan gito gati,Rp 8.850.000.000,6,300,478,"Jalan Gito Gati Ngaglik Sleman Ngaglik, Sleman",2025-04-27T14:30:57.981661
villa fasilitas resort dan opsi manajemen rental,Rp 3.050.000.000,2,100,100,"Jimbaran, Badung",2025-04-27T14:30:58.203572
escape to tranquility villas kaba-kaba - 28 years leasehold,Rp 4.500.000.000,2,93,183,"Kaba-kaba Kediri, Tabanan",2025-04-27T14:30:58.491541
villa fasilitas resort dan opsi manajemen rental,Rp 3.050.000.000,2,100,100,"Jimbaran, Badung",2025-04-27T14:31:08.039295
cluster nivara resort wijaya di jantung kota jakarta selatan,Rp 6.800.000.000,4,375,76,"Jakarta Selatan Kebayoran Baru, Jakarta Selatan",2025-04-27T14:31:08.307758
perumahan 2 lantai ready stok siap huni lokasi cilodong depok,Rp 975.000.000,3,67,70,"Jatimulya, Depok",2025-04-27T14:31:08.605145
rumah komersil cluster btr 3 blok d9 bekasi timur regency,Rp 475.000.000,2,50,60,"Mustika Jaya, Bekasi",2025-04-27T14:31:08.955211
rumah cantik sudah renovasi harga murah di citragran cibubur,Rp 3.600.000.000,5,259,300,"CitraGran Cibubur Cibubur, Jakarta Timur",2025-04-27T14:31:09.088348
grand pakuwon tandes type sanders cluster adelaide,Rp 1.099.000.000,2,72,78,"Tandes, Surabaya",2025-04-27T14:31:09.211246
dijual rumah 3 lantai di kemayoran jakarta pusat,Rp 1.200.000.000,3,91,37,"Jalan Kran V Kemayoran, Jakarta Pusat",2025-04-27T14:31:09.340774
dijual rumah mewah minimalis kemayoran jakarta pusat,Rp 498.000.000,2,43,22,"Kemayoran, Jakarta Pusat",2025-04-27T14:31:09.438755
"rumah 2 lantai di senopati area, kebayoran baru",Rp 48.000.000.000,3,320,458,"Kebayoran Baru, Jakarta Selatan",2025-04-27T14:31:09.595035
kavling bangunjiwo 1 strategis yogyakarta,Rp 520.000.000,2,45,88,"Bangunjiwo Kasihan, Bantul",2025-04-27T14:31:09.898464
rumah cluster matana asya 9x14 126m 4kt jgc jakarta garden city,Rp 3.100.000.000,4,315,126,"Cakung, Jakarta Timur",2025-04-27T14:31:10.196062
dijual rumah cluster mewah di bsd - gading serponh,Rp 4.719.000.000,4,189,128,"BSD Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:31:10.501332
dijual rumah villa mewah dan bagus di kelapa gading,Rp 18.000.000.000,6,470,440,"Kelapa Gading, Jakarta Utara",2025-04-27T14:31:10.806743
termurah dekat binus rumah hadap selatan di sitara leora alam sutera,Rp 3.150.000.000,4,126,112,"Sutera Leora Alam Sutera, Tangerang Selatan",2025-04-27T14:31:11.102355
di jual butuh segera.! rumah dalam cluster cijambe kota bandung,Rp 549.000.000,2,60,87,"Ujung Berung, Bandung",2025-04-27T14:31:11.405414
rumah cantik 2 lantai di perumahan cluster solo kota,Rp 1.500.000.000,3,150,118,"Joyosuran, Solo",2025-04-27T14:31:11.695803
"rumah cantik semi furnished di perumnas gayungan, ketintang.",Rp 1.800.000.000,3,150,183,"Gayungan, Surabaya",2025-04-27T14:31:11.979382
jual rumah jl neptunus margahayu raya / belakang mtc,Rp 800.000.000,4,80,102,"jalan neptunus raya blok K2 no 93 Buahbatu (Margacinta), Bandung",2025-04-27T14:31:12.294560
"townhouse strategis di depok – dekat sekolah, stasiun & tol!",Rp 660.500.000,2,52,70,"Bedahan Sawangan, Depok",2025-04-27T14:31:12.532685
dijual rumah 1 lantai di kana park cluster nobu by rumah chinida,Rp 600.000.000,2,33,60,"Legok, Tangerang",2025-04-27T14:31:12.840028
di jual villa cluster murah di puri gading jimbaran,Rp 1.650.000.000,2,55,107,"Jimbaran Jimbaran, Badung",2025-04-27T14:31:13.118205
"new private townhouse tapos, bebas banjir, harga all-in, banyak bonus",Rp 656.000.000,2,55,61,"Sedap Malam Tapos, Depok",2025-04-27T14:31:13.436762
rumah murah siap huni di lokasi strategis banyuwangi kota,Rp 415.000.000,3,75,95,"Kertosari Banyuwangi, Banyuwangi",2025-04-27T14:31:13.713685
jual cepat rumah modern kopo permai dkt tki taman kopo indah tol kopo,Rp 1.400.000.000,3,120,93,"Kopo Permai Margahayu, Bandung",2025-04-27T14:31:13.992486
townhouse strategis 2 tingkat shm bebas banjir 10 menit ke lrt tmii,Rp 505.000.000,2,50,25.5,"Jl Pangeran lubang buaya jakarta timur Lubang Buaya, Jakarta Timur",2025-04-27T14:31:14.244068
dekat citorumah cantik gayungan surabaya,Rp 1.800.000.000,4,150,183,"Gayungan, Surabaya",2025-04-27T14:31:14.526633
rumah siap huni dekat polresta banyuwangi kota,Rp 400.000.000,2,80,91,"SAMSAT Banyuwangi Banyuwangi, Banyuwangi",2025-04-27T14:31:14.839047
dijual atau disewakan – vila minimalis modern di tumbak bayuh,Rp 4.950.000.000,3,155,130,"Tumbak Bayuh, Badung",2025-04-27T14:31:15.106811
rumah mewah turun harga murah pol di nguter sukoharjo,Rp 1.100.000.000,5,350,450,"Nguter, Sukoharjo",2025-04-27T14:31:15.230640
"rumah baru malang sulfat strategis sulfat tengah kota malang, nego",Rp 1.700.000.000,4,145,116,"Jalan Sebuku XIII Bunulrejo, Malang",2025-04-27T14:31:15.327021
"rumah baru malang sulfat strategis sulfat tengah kota malang, nego",Rp 1.700.000.000,4,145,116,"Jalan Sebuku XIII Bunulrejo, Malang",2025-04-27T14:31:24.911619
stunning villa dekat sidewalk jimbaran bali,Rp 5.800.000.000,3,150,400,"PERUMAHAN BUKIT HIJAU Jimbaran, Badung",2025-04-27T14:31:25.051554
villa cantik ekslusif dikelilingi sawah di ubud bali siap jadi milikmu,Rp 4.900.000.000,3,300,936,"Ubud, Gianyar",2025-04-27T14:31:25.147099
citra garden bintaro cluster bischofia tipe celosia,Rp 3.500.000.000,5,163,120,"JL MERPATI RAYA Bintaro, Tangerang Selatan",2025-04-27T14:31:25.257257
turun harga lagimurahjarang adadijual rumah di buahbatu regency,Rp 1.585.000.000,4,130,135,"OkOce buahbatu regency Buahbatu (Margacinta), Bandung",2025-04-27T14:31:25.368976
dijual villa konsep mediteranian kawasan sanur - vsfe,Rp 4.500.000.000,2,92.6,116,"Canggu, Badung",2025-04-27T14:31:25.619698
"villa, desain villa modern kontemporer di jimbaran, bali",Rp 2.700.000.000,3,180,200,"Jimbaran, Badung",2025-04-27T14:31:25.888568
jual rumah lux cantik kota baru parahyangan kbp dekat ikea ka woosh,Rp 4.680.000.000,4,220,200,"Tatar Jingganagara Padalarang, West Bandung",2025-04-27T14:31:26.136336
rumah hook murah perumahan the river dekat stasiun tol parung panjang,Rp 410.000.000,2,50,72,"Parung Panjang, Bogor",2025-04-27T14:31:26.402836
termurah rumah baru super cakep di suryalaya turangga buahbatu bandung,Rp 1.850.000.000,3,94,115,"Lengkong, Bandung",2025-04-27T14:31:26.696461
"dijual rumah townhouse bagus furnished shm duren tiga, jakarta selatan",Rp 17.500.000.000,5,536,500,"Duren Tiga, Jakarta Selatan",2025-04-27T14:31:27.001043
murah pisan rumah depan taman di bawah harga pasar cigadung dago,Rp 3.400.000.000,5,250,435,"Cigadung Dago, Bandung",2025-04-27T14:31:27.307054
rumah murah siap huni minimalis modern di turangga buahbatu bandung,Rp 1.600.000.000,4,120,137,"Turangga Lengkong, Bandung",2025-04-27T14:31:27.620318
di jual villa 2 lantai dekat pecatu uluwatu dan pantai balangan,Rp 2.500.000.000,3,100,115,"Pecatu Pecatu, Badung",2025-04-27T14:31:27.895499
dijual rumah mewah siap huni di cendana residence 2 bsd city free dp,Rp 1.200.000.000,3,57,72,"Serpong Serpong, Tangerang Selatan",2025-04-27T14:31:28.213570
"dijual cepat rumah pondok indah, pondok pinang, veteran",Rp 3.000.000.000,3,180,140,"Pondok Indah, Jakarta Selatan",2025-04-27T14:31:28.508676
