Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
bukit podomoro jakarta tipe 7 classic,5000000000.0,4,180.0,105.0,Jakarta Timur,2025-04-27T14:40:47.887578
springhill yume lagoon tipe ajisai,778893660.0,2,36.0,60.0,Tangerang,2025-04-27T14:40:48.192262
hiera wynyard tipe 8,4724782160.0,5,205.0,144.0,Tangerang Selatan,2025-04-27T14:40:48.648453
kana park cluster kano tipe 33,522000000.0,2,33.0,50.0,Tangerang,2025-04-27T14:40:48.819172
cluster bellwood tipe 157/162,2689627000.0,3,157.0,162.0,Bogor,2025-04-27T14:40:48.925561
murah bagus full furnish rumah mulyosari,2499000000.0,4,250.0,165.0,Surabaya,2025-04-27T14:40:49.012241
rumah second perumahan lavender hijau cikarang jababeka,620000000.0,3,95.0,90.0,Bekasi,2025-04-27T14:40:49.135451
rumah kos eksklusif dekat boulevard sukarno hatta,2600000000.0,11,250.0,98.0,Malang,2025-04-27T14:40:49.248227
rumah murah di kelapa dua depok dekat rs brimob,850000000.0,3,150.0,112.0,Depok,2025-04-27T14:40:49.517596
rumah bata merah setu cipayung jakarta timur,775000000.0,2,54.0,45.0,Jakarta Timur,2025-04-27T14:40:49.612574
cluster bentley homes di lippo village tangerang dekat lapangan golf,2600000000.0,4,131.0,115.0,Tangerang,2025-04-27T14:40:49.811869
panorama terrace tipe d,3625500000.0,4,180.0,114.0,Jakarta Selatan,2025-04-27T14:41:00.038504
blossom park tipe belladona,668000000.0,2,55.0,66.0,Bogor,2025-04-27T14:41:00.194967
terravia bsd city tipe adora luxe,4761074000.0,5,190.0,112.0,Tangerang,2025-04-27T14:41:00.396577
bukit podomoro jakarta tipe 7 classic,5000000000.0,4,180.0,105.0,Jakarta Timur,2025-04-27T14:41:00.696269
panjibuwono city cluster casablanca tipe casa jardin,797882243.0,2,39.0,72.0,Bekasi,2025-04-27T14:41:00.929975
bsd city - tanakayu jiva tipe 6,3215432000.0,3,86.0,112.0,Tangerang,2025-04-27T14:41:01.227968
bukit podomoro jakarta tipe 7 art deco,5000000000.0,4,180.0,105.0,Jakarta Timur,2025-04-27T14:41:01.539960
hiera wynyard tipe 7,3384440380.0,4,160.0,98.0,Tangerang Selatan,2025-04-27T14:41:01.862237
tipe montez 412/240,13190749000.0,4,412.0,240.0,Tangerang,2025-04-27T14:41:02.171937
terravia bsd city tipe adora primes,3216087000.0,5,144.0,84.0,Tangerang,2025-04-27T14:41:02.542350
serpong heritage tipe 52/80,891000000.0,3,52.0,80.0,Tangerang Selatan,2025-04-27T14:41:02.839526
"dijual unit rumah mewah bergaya eropa klasik di pejaten, pasar minggu",3400000000.0,5,240.0,99.0,Jakarta Selatan,2025-04-27T14:41:03.139960
jual rumah di delatinos bsd serpong,1670000000.0,2,75.0,112.0,Tangerang Selatan,2025-04-27T14:41:03.446346
rumah minimalis modern murah di chintya summarecon bandung,1600000000.0,3,72.0,90.0,Bandung,2025-04-27T14:41:03.741512
di jual rumah perum griya permata alam karang ploso,675000000.0,3,85.0,122.0,Malang,2025-04-27T14:41:04.032415
di jual rumah omaha village gading serpong,2000000000.0,4,120.0,96.0,Tangerang,2025-04-27T14:41:04.321882
jual rumah di gading serpong hoek depan kolam renang di thomson gs !,2450000000.0,2,77.0,118.0,Tangerang,2025-04-27T14:41:04.628907
rumah cantik brand new baru serah terima harga terbaik,3100000000.0,3,118.0,98.0,Tangerang Selatan,2025-04-27T14:41:04.929935
jual rumah di vila dago pamulang dekat akses toll bsd dan ciputat,780000000.0,2,50.0,78.0,Tangerang Selatan,2025-04-27T14:41:05.223561
dijual rumah 3 lantai modern lokasi premium di utan kayu matraman,1075000000.0,3,80.0,30.0,Jakarta Timur,2025-04-27T14:41:05.520821
"jual rumah cluster emerald phg, gading serpong, tangerang",4900000000.0,3,192.0,200.0,Tangerang,2025-04-27T14:41:05.794345
citra garden 6 fine home kalideres cluster favorite,8200000000.0,5,400.0,160.0,Jakarta Barat,2025-04-27T14:41:06.064295
rumah 1 lantai baru renov siap huni di jakarta timur.,1800000000.0,4,150.0,120.0,Jakarta Timur,2025-04-27T14:41:06.365942
rumah siap huni city view hadap timur dekat cibiru bandung,580000000.0,4,80.0,96.0,Bandung,2025-04-27T14:41:06.692395
tropical villa retreat just steps from double six beach,8764000000.0,2,249.0,247.0,Badung,2025-04-27T14:41:06.984641
"leasehold - luxury villa with breathtaking views of majestic mountains in cemagi, bal",17000000000.0,5,850.0,1000.0,Badung,2025-04-27T14:41:07.279947
private pool eksclusif 5 menit bsd city super luxury matera residences,6300000000.0,5,208.0,162.0,Tangerang,2025-04-27T14:41:07.583555
rumah cantik 2 lantai berlokasi dekat taman merdeka depok,975000000.0,3,70.0,59.0,Depok,2025-04-27T14:41:07.879962
"rumah dijual cepat di semarang, dekat gerbang tol manyaran",950000000.0,5,212.0,212.0,Semarang,2025-04-27T14:41:08.198511
dijual rumah hunian nyaman lokasi strategis & murah di graha raflesia,680000000.0,3,94.0,72.0,Tangerang,2025-04-27T14:41:08.487876
"leasehold - luxury villa with breathtaking views of majestic mountains in cemagi, bal",17000000000.0,5,850.0,1000.0,Badung,2025-04-27T14:41:19.962263
jual rumah di vila dago pamulang dekat akses toll bsd dan ciputat,780000000.0,2,50.0,78.0,Tangerang Selatan,2025-04-27T14:41:20.121864
dijual rumah kos di area kampus malang,2400000000.0,18,303.0,98.0,Malang,2025-04-27T14:41:20.290166
dijual cepat murah rumah 2 lantai di rawa kepa tomang jakarta barat,2500000000.0,3,240.0,136.0,Jakarta Barat,2025-04-27T14:41:20.502838
jual rumah gratis tanah 50 jt masih kembalian,84800000000.0,4,500.0,1696.0,Jakarta Timur,2025-04-27T14:41:20.645954
cluster emory tipe akasia eka – parkland podomoro karawang,1490000000.0,2,82.0,78.0,Karawang,2025-04-27T14:41:20.806514
"dijual rumah bu di jl talas, pondok cabe,",11000000000.0,5,450.0,1225.0,Tangerang Selatan,2025-04-27T14:41:20.961013
rumah agung permai raya sunter dekat hermina lama dijual,8500000000.0,4,320.0,216.0,Jakarta Utara,2025-04-27T14:41:21.134691
"rumah dijual cepat di semarang, dekat gerbang tol manyaran",950000000.0,5,212.0,212.0,Semarang,2025-04-27T14:41:21.278526
cluster brahmapuri at podomoro park bandung,4000000000.0,4,147.0,140.0,Bandung,2025-04-27T14:41:21.402393
rumah elite bu segera + furniture di araya dekat kampus binus,1350000000.0,2,145.0,98.0,Malang,2025-04-27T14:41:21.545708
dijual rumah hunian nyaman lokasi strategis & murah di graha raflesia,680000000.0,3,94.0,72.0,Tangerang,2025-04-27T14:41:21.800747
rumah siap huni dp 0% lokasi 10 menit ke stasiun depok,651000000.0,2,42.0,66.0,Jakarta Selatan,2025-04-27T14:41:22.038450
butuh uang dijual rumah bogor sentul city 2 lt cluster taman udayana,1100000000.0,3,120.0,90.0,Bogor,2025-04-27T14:41:22.321591
townhouse 2 lt 3kt 400 jutaan di depok,495000000.0,3,52.0,66.0,Depok,2025-04-27T14:41:22.585798
hunian 2lantai mewah tanpa dp lokasi depok kota,1075000000.0,3,80.0,77.0,Depok,2025-04-27T14:41:22.850961
rumah siap huni dp 0% lokasi 10 menit ke stasiun depok,1200000000.0,3,95.0,70.0,Jakarta Selatan,2025-04-27T14:41:23.132550
"hunian minimalis dekat exit tol tempel sleman yogya, unit terbatas",250000000.0,2,40.0,88.0,Sleman,2025-04-27T14:41:23.443757
villa di komplek istana prima residence ( katamso ),2950000000.0,3,284.0,99.0,Medan,2025-04-27T14:41:23.646106
rumah dijual symphonia gading serpong,2300000000.0,4,90.0,84.0,Tangerang,2025-04-27T14:41:23.855067
shila at sawangan cluster tilia terrace plus,1627401000.0,3,79.0,113.0,Depok,2025-04-27T14:41:23.992221
paradise serpong city 2 - ecospace tipe skye,1445000000.0,3,85.0,85.0,Bogor,2025-04-27T14:41:24.195967
blossom park tipe azalea,919000000.0,3,75.0,84.0,Bogor,2025-04-27T14:41:24.338079
cluster agra tipe azami at suvarna sutera,1518650000.0,3,98.0,105.0,Tangerang,2025-04-27T14:41:24.654185
cluster emory tipe akasia eka – parkland podomoro karawang,1490000000.0,2,82.0,78.0,Karawang,2025-04-27T14:41:24.868529
cluster alamanda tipe 45 – samesta parayasa,617000000.0,2,45.0,152.0,Bogor,2025-04-27T14:41:25.154761
cluster nashville tipe 220,3552868000.0,4,220.0,190.0,Bogor,2025-04-27T14:41:25.440629
shila at sawangan cluster tilia courtyard plus,2348400000.0,3,109.0,140.0,Depok,2025-04-27T14:41:25.707482
citra garden bintaro cluster alstonia tipe calliandra,2506288000.0,3,110.0,84.0,Tangerang Selatan,2025-04-27T14:41:25.984610
cluster evergreen tipe valerian tri – parkland podomoro karawang,2720000000.0,3,142.0,120.0,Karawang,2025-04-27T14:41:26.146077
cluster new bougenville tipe 36 – samesta parayasa,436000000.0,2,36.0,72.0,Bogor,2025-04-27T14:41:37.879911
cluster anggapati residence tipe anggapati – kota baru parahyangan,4900000000.0,4,199.0,209.0,West Bandung,2025-04-27T14:41:38.155336
panorama terrace tipe b,3020000000.0,5,160.0,93.0,Jakarta Selatan,2025-04-27T14:41:38.391353
latinos business district tipe 91,2082230000.0,2,91.0,50.0,Tangerang Selatan,2025-04-27T14:41:38.658083
puri 11 heritage tipe the 7 std - 2fl,3142954382.0,3,104.0,88.0,Tangerang,2025-04-27T14:41:38.958050
graha arraya tipe sakura,188000000.0,2,27.0,60.0,Bogor,2025-04-27T14:41:39.493159
cluster mandapa tipe premium boulevard,1262222910.0,3,58.0,84.0,Bekasi,2025-04-27T14:41:39.811920
cluster ivory tipe 7x12 – metland transyogi cibubur,1503500000.0,3,77.0,84.0,Bogor,2025-04-27T14:41:40.026544
kota podomoro tenjo tipe premium 40,470305000.0,2,40.0,119.0,Bogor,2025-04-27T14:41:40.308908
cluster avilla nova tipe prime – samanea hill,1080000000.0,3,60.0,143.0,Bogor,2025-04-27T14:41:40.613725
bio district bsd tipe b,1981689189.0,3,92.0,72.0,Tangerang Selatan,2025-04-27T14:41:40.914379
serpong heritage tipe 52/73,840000000.0,3,52.0,73.0,Tangerang Selatan,2025-04-27T14:41:41.213254
kota podomoro tenjo tipe deluxe 27,183000000.0,2,27.0,60.0,Bogor,2025-04-27T14:41:41.517942
grand wisata - z living tipe modern,1815416799.0,3,88.0,77.0,Bekasi,2025-04-27T14:41:41.813802
"jual murah rumah 2lantai di taman rempoa indah, tangerang selatan.",2980000000.0,4,300.0,209.0,Tangerang Selatan,2025-04-27T14:41:42.198008
rumah baru di wonorejo selatan rungkut merr,875000000.0,3,58.0,100.0,Surabaya,2025-04-27T14:41:42.492302
permata mutiara maja tipe lavender,236300000.0,2,27.0,60.0,Lebak,2025-04-27T14:41:42.800053
termurah rumah di cluster manhattan mutiara gading city bekasi,490000000.0,2,50.0,60.0,Bekasi,2025-04-27T14:41:43.103507
rumah murah 12 menit lrt cibubur & 8 menit tol cimanggis promo dp 0,585000000.0,2,36.0,60.0,Depok,2025-04-27T14:41:43.393304
kota podomoro tenjo - cluster damar tipe 40,625220000.0,2,40.0,119.0,Bogor,2025-04-27T14:41:43.699063
unit ready rumah bagus 2 lantai bandulan kota malang,455000000.0,2,55.0,72.0,Malang,2025-04-27T14:41:43.982807
rumah 1 lantai 3 kamar tidur 400 jutaan dekat stasiun tambun,485000000.0,3,45.0,72.0,Bekasi,2025-04-27T14:41:44.290549
cluster sadyagriya at podomoro park bandung,1600000000.0,2,73.0,90.0,Bandung,2025-04-27T14:41:44.587711
cluster anggapati residence tipe anggapati – kota baru parahyangan,4900000000.0,4,199.0,209.0,West Bandung,2025-04-27T14:41:44.832956
perumahan pasuruan subsidi viral terlaris bangunan mewah,166000000.0,2,27.0,66.0,Pasuruan,2025-04-27T14:41:45.122858
rumah 1 lantai design skandinavia dekat dengan cileungsi dan jonggol,463000000.0,2,36.0,72.0,Bogor,2025-04-27T14:41:45.433202
rumah bagus 2 lt harga turun di baturan colomadu,999000000.0,3,170.0,96.0,Karanganyar,2025-04-27T14:41:45.684753
rumah 1.5 lantai bebas banjir di pondok ungu permai,675000000.0,3,115.0,90.0,Bekasi,2025-04-27T14:41:45.939358
